Hero|Civilian Name|Power
Captain America|Steve Rogers|Strength, Agility, Stamina, Healing, Indestructible Shield
Black Panther|King T'Challa|Enhanced Senses, Superhuman Condition, Speed, Martial Artist, Vibranium Outfit
Hawkeye|Clint Barton|Marksmanship, Martial Artist
Black Widow|Natasha Romanoff|Master Spy, Martial Artist, Espionage, Disguise, Manipulation
The Winter Soldier|Bucky Barnes|Superhuman Strength, Martial Artist, Speed, Healing
Star-Lord|Peter Quill|Strength, Cybernetic Enhancement
Wolverine|Logan Howlett|Regeneration, Indestructible Skeleton, Reflexes, Agility, Senses
Iron Man|Tony Stark|Genius intellect, Armored Suit, Ability to Fly
Vision|N/A|Superhuman Strength & Durability, Genius Intellect
Scarlet Witch|Wanda Maximoff|Telekinesis, Telepathy, Teleportation, Energy Manipulation
Hulk|Bruce Banner|Strength, Speed, Stamina, Invulnerability
Spider-Man|Peter Parker|Strength, Jumptin, Danger Sense, Web Shooters
Captain Marvel|Carol Danvers|Strength, Speed, Stamina, Flight, Energy Absorption
Thor|Thor Odinson|God, Superhuman Strength, Flight, Hammer
