date|time|description|vendor|amount
2021-03-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2021-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2021-05-05|01:06:35|Refund|Verizon|25.00
2021-06-01|09:20:00|Office Supplies|Staples|-124.50
2021-07-15|14:30:00|Invoice 1002 paid|XYZ Company|2500.00
2021-08-02|10:00:00|Business Lunch|McDonald's|-32.25
2021-09-05|13:45:00|Rent Expense|ABC Properties|-1500.00
2021-10-10|08:30:00|Travel Expenses|Delta Airlines|-1000.00
2021-11-15|11:00:00|Consulting Services|John Smith|3500.00
2021-12-20|09:00:00|Office Rent|ABC Properties|-2000.00
2022-01-15|10:30:00|Advertising Expenses|Google AdWords|-500.00
2022-02-20|08:00:00|Office Supplies|Staples|-300.00
2022-03-01|16:20:00|Travel Expenses|Delta Airlines|-1200.00
2022-04-15|11:15:00|Invoice 1003 paid|XYZ Company|3200.00
2022-05-20|10:00:00|Business Lunch|Pizza Hut|-40.75
2022-06-05|08:00:00|Office Rent|ABC Properties|-2000.00
2022-07-15|09:30:00|Consulting Services|John Smith|5000.00
2022-08-01|10:45:00|Office Supplies|Staples|-175.25
2022-09-05|13:45:00|Rent Expense|ABC Properties|-1500.00
2022-10-10|10:30:00|Travel Expenses|Delta Airlines|-800.00
2022-11-15|11:00:00|Consulting Services|John Smith|4500.00
2022-12-20|09:00:00|Office Rent|ABC Properties|-2000.00
2023-01-15|10:30:00|Advertising Expenses|Google AdWords|-500.00
2023-02-20|08:00:00|Office Supplies|Staples|-300.00
2023-03-01|16:20:00|Travel Expenses|Delta Airlines|-1200.00
2023-04-15|11:15:00|Invoice 1004 paid|XYZ Company|3200.00
2023-05-20|10:00:00|Business Lunch|Pizza Hut|-40.75
2023-06-05|08:00:00|Office Rent|ABC Properties|-2000.00
2023-07-15|09:30:00|Consulting Services|John Smith|5000.00
2023-08-01|10:45:00|Office Supplies|Staples|-175.25
2023-09-05|13:45:00|Rent Expense|ABC Properties|-1500.00
2023-10-10|10:30:00|Travel Expenses|Delta Airlines|-800.00
2023-11-15|11:00:00|Consulting Services|John Smith|4500.00
2023-12-20|09:00:00|Office Rent|ABC Properties|-2000
